name,type,temp_c,humidity_pct,seasons,spoilage_status,CO2_ppm,Ethylene_ppm,NH3_ppm,H2S_ppm,VOC_ppm,O2_%,Transit_Duration_hrs,source,min_optimal_temp,max_optimal_temp,min_optimal_humidity,max_optimal_humidity,shelf_life
Shrimp,Seafood,39.6,89.8,Summer,Fresh,836.3,8.857,0.636,0.7496,0.0,0.0,17.5,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Fish Fillet,Seafood,32.6,86.0,Summer,Spoiled,1047.5,0.097,16.116,5.5851,0.0,0.0,25.2,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Yogurt,Dairy,26.3,78.7,Monsoon,Fresh,434.8,2.297,0.624,0.9223,263.15,0.0,6.6,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Paneer,Dairy,9.5,97.9,Winter,Warning,1084.3,4.332,1.901,0.4534,263.15,0.0,60.2,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Yogurt,Dairy,9.7,88.7,Winter,Warning,536.9,3.646,0.817,0.3795,263.15,0.0,71.3,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Shrimp,Seafood,29.2,98.3,Monsoon,Spoiled,720.9,0.993,18.263,4.5374,0.0,0.0,52.0,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Butter,Dairy,28.5,69.0,Spring,Fresh,831.2,3.735,2.142,0.5835,263.15,0.0,26.7,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Yogurt,Dairy,26.8,85.2,Spring,Fresh,877.1,1.924,2.979,0.468,263.15,0.0,18.9,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Lamb Chops,Meat,39.4,80.5,Summer,Spoiled,634.3,6.521,9.074,7.6305,0.0,0.0,63.2,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Paneer,Dairy,36.9,89.3,Monsoon,Fresh,522.3,3.813,2.697,0.7786,263.15,0.0,38.7,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Whole Milk,Dairy,7.3,86.5,Winter,Fresh,446.3,4.39,4.735,0.0857,263.15,0.0,35.5,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Cheddar Cheese,Dairy,33.6,84.4,Monsoon,Fresh,1171.5,4.645,3.776,0.6899,263.15,0.0,51.6,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Beef Steak,Meat,18.7,67.9,Winter,Warning,1563.2,8.827,0.144,5.6627,0.0,0.0,5.2,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Cheddar Cheese,Dairy,30.9,71.8,Summer,Warning,1148.4,2.855,2.363,0.7846,263.15,0.0,58.3,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Butter,Dairy,38.6,66.0,Summer,Warning,922.8,3.231,0.303,0.7282,263.15,0.0,57.8,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Cheddar Cheese,Dairy,27.5,74.8,Monsoon,Warning,1138.6,2.216,4.307,0.5503,263.15,0.0,4.6,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Lamb Chops,Meat,42.0,74.1,Summer,Warning,1242.2,0.88,7.579,7.8825,0.0,0.0,19.8,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Pork Ribs,Meat,16.1,80.4,Winter,Spoiled,798.8,3.266,1.17,5.8859,0.0,0.0,5.3,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Chicken Breast,Meat,37.6,82.8,Summer,Spoiled,568.2,2.787,11.901,5.4017,0.0,0.0,17.7,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Cheddar Cheese,Dairy,32.7,83.3,Monsoon,Warning,1147.8,1.021,3.581,0.2387,263.15,0.0,29.1,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Shrimp,Seafood,11.1,98.6,Winter,Warning,1196.9,1.099,4.263,2.1216,0.0,0.0,67.3,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Cheddar Cheese,Dairy,28.7,89.7,Monsoon,Spoiled,1045.7,2.645,3.339,0.5546,263.15,0.0,67.2,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Cheddar Cheese,Dairy,26.5,81.8,Monsoon,Warning,974.1,1.018,3.171,0.264,263.15,0.0,35.7,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Whole Milk,Dairy,35.5,92.5,Summer,Fresh,609.6,3.706,2.758,0.4277,263.15,0.0,1.7,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Cheddar Cheese,Dairy,25.5,72.1,Monsoon,Warning,691.7,4.665,4.861,0.0399,263.15,0.0,26.4,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Shrimp,Seafood,26.3,90.5,Monsoon,Spoiled,523.6,13.948,17.292,7.8096,0.0,0.0,58.6,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Beef Steak,Meat,39.6,89.9,Summer,Spoiled,2102.6,4.002,15.747,0.8648,0.0,0.0,62.9,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Pork Ribs,Meat,35.6,76.5,Monsoon,Spoiled,449.7,2.897,6.565,6.9148,0.0,0.0,69.6,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
Paneer,Dairy,13.6,75.2,Winter,Warning,1101.6,1.306,2.903,0.9836,263.15,0.0,3.7,Dairy_Meat,1.75,6.25,78.75,88.25,12.75
Fish Fillet,Seafood,26.5,84.8,Spring,Spoiled,861.3,3.821,14.176,0.0135,0.0,0.0,66.7,Dairy_Meat,0.0,2.0,80.0,90.0,2.0
Lamb Chops,Meat,30.6,84.5,Monsoon,Spoiled,661.7,13.501,10.142,5.3351,0.0,0.0,24.2,Dairy_Meat,2.0,6.0,80.0,90.0,7.0
